country;totalDeaths
Afghanistan                        ;7684
Albania                            ;3443
Algeria                            ;6801
American Samoa                     ;31
Andorra                            ;150
Angola                             ;1866
Anguilla                           ;8
Antigua And Barbuda                ;139
Argentina                          ;128679
Armenia                            ;8545
Aruba                              ;218
Australia                          ;8837
Austria                            ;16245
Azerbaijan                         ;9539
Bahamas                            ;812
Bahrain                            ;1488
Bangladesh                         ;29117
Barbados                           ;462
Belarus                            ;6753
Belgium                            ;31301
Belize                             ;664
Benin                              ;163
Bermuda                            ;134
Bhutan                             ;21
Bolivia                            ;21814
Bonaire, Saint Eustatius And Saba  ;35
Bosnia And Herzegovina             ;15519
Botswana                           ;2690
Brazil                             ;667379
British Virgin Islands             ;63
Brunei Darussalam                  ;164
Bulgaria                           ;37196
Burkina Faso                       ;362
Burundi                            ;15
Cambodia                           ;3048
Cameroon                           ;1915
Canada                             ;41240
Cape Verde                         ;401
Cayman Islands                     ;25
Central African Republic           ;113
Chad                               ;190
Chile                              ;57821
China                              ;14616
Colombia                           ;139320
Comoros                            ;155
Congo                              ;381
Cook Islands                       ;1
Costa Rica                         ;8512
Cote Divoire                       ;787
Croatia                            ;16019
Cuba                               ;8520
Curaçao                            ;273
Cyprus                             ;1223
Czechia                            ;40241
Democratic Republic Of The Congo   ;1246
Denmark                            ;5864
Djibouti                           ;189
Dominica                           ;66
Dominican Republic                 ;4354
Ecuador                            ;35563
Egypt                              ;24284
El Salvador                        ;4118
Equatorial Guinea                  ;183
Eritrea                            ;97
Estonia                            ;2460
Eswatini                           ;1361
Ethiopia                           ;7424
Falkland Islands (Malvinas)        ;0
Faroe Islands                      ;26
Fiji                               ;860
Finland                            ;4714
France                             ;162775
French Polynesia                   ;649
Gabon                              ;300
Gambia                             ;364
Georgia                            ;16009
Germany                            ;139910
Ghana                              ;1394
Gibraltar                          ;102
Greece                             ;30028
Greenland                          ;20
Grenada                            ;231
Guam                               ;367
Guatemala                          ;18260
Guernsey                           ;46
Guinea                             ;441
Guinea Bissau                      ;171
Guyana                             ;1215
Haiti                              ;834
Holy See                           ;0
Honduras                           ;10898
Hungary                            ;45379
Iceland                            ;114
India                              ;520432
Indonesia                          ;156557
Iran                               ;140753
Iraq                               ;25111
Ireland                            ;6290
Isle Of Man                        ;107
Israel                             ;10870
Italy                              ;168738
Jamaica                            ;3056
Japan                              ;30867
Jersey                             ;127
Jordan                             ;13626
Kazakhstan                         ;18889
Kenya                              ;5610
Kiribati                           ;13
Kosovo                             ;3137
Kuwait                             ;2553
Kyrgyzstan                         ;2972
Laos                               ;677
Latvia                             ;6461
Lebanon                            ;10227
Lesotho                            ;693
Liberia                            ;294
Libya                              ;6310
Liechtenstein                      ;82
Lithuania                          ;9194
Luxembourg                         ;1277
Madagascar                         ;1309
Malawi                             ;2582
Malaysia                           ;35315
Maldives                           ;296
Mali                               ;706
Malta                              ;726
Marshall Islands                   ;0
Mauritania                         ;963
Mauritius                          ;960
Mexico                             ;323566
Micronesia (Federated States Of)   ;0
Moldova                            ;10741
Monaco                             ;55
Mongolia                           ;2100
Montenegro                         ;2681
Montserrat                         ;8
Morocco                            ;16036
Mozambique                         ;2139
Myanmar                            ;19380
Namibia                            ;3976
Nauru                              ;0
Nepal                              ;11929
Netherlands                        ;22336
New Caledonia                      ;312
New Zealand                        ;1265
Nicaragua                          ;223
Niger                              ;308
Nigeria                            ;3090
North Macedonia                    ;9156
Northern Mariana Islands           ;25
Norway                             ;3210
Oman                               ;4256
Pakistan                           ;30326
Palau                              ;6
Palestine                          ;5580
Panama                             ;8264
Papua New Guinea                   ;657
Paraguay                           ;18900
Peru                               ;212815
Philippines                        ;59630
Poland                             ;116744
Portugal                           ;23664
Puerto Rico                        ;4410
Qatar                              ;673
Romania                            ;65696
Russia                             ;366945
Rwanda                             ;1448
Saint Kitts And Nevis              ;43
Saint Lucia                        ;362
Saint Vincent And The Grenadines   ;102
Samoa                              ;28
San Marino                         ;109
Sao Tome And Principe              ;73
Saudi Arabia                       ;9299
Senegal                            ;1963
Serbia                             ;15742
Seychelles                         ;167
Sierra Leone                       ;123
Singapore                          ;1381
Sint Maarten                       ;86
Slovakia                           ;20112
Slovenia                           ;7805
Solomon Islands                    ;149
Somalia                            ;1361
South Africa                       ;100659
South Korea                        ;23434
South Sudan                        ;135
Spain                              ;107272
Sri Lanka                          ;16252
Sudan                              ;4907
Suriname                           ;1350
Sweden                             ;19049
Switzerland                        ;12878
Syria                              ;3090
Taiwan                             ;4171
Tajikistan                         ;125
Thailand                           ;30019
Timor Leste                        ;131
Togo                               ;268
Tonga                              ;12
Trinidad And Tobago                ;3639
Tunisia                            ;28535
Turkey                             ;96585
Turks And Caicos Islands           ;35
Tuvalu                             ;0
Uganda                             ;3570
Ukraine                            ;105566
United Arab Emirates               ;2287
United Kingdom                     ;178132
United Republic Of Tanzania        ;837
United States Of America           ;991649
United States Virgin Islands       ;114
Uruguay                            ;7269
Uzbekistan                         ;1613
Vanuatu                            ;14
Venezuela                          ;5686
Vietnam                            ;39628
Wallis And Futuna                  ;7
Western Sahara                     ;1
Yemen                              ;2141
Zambia                             ;3925
Zimbabwe                           ;5276
