X,Y,id,landsat__1,landsat__2,landsat__3,landsat__4,landsat__5,landsat__6,landsat__7,Cat
-8.882064706,42.36474011,0,8444,7690,6540,5826,5341,5061,5019,Mar
-8.909804988,42.42868157,0,8461,7703,6543,5844,5342,5060,5037,Mar
-8.892586716,42.51222288,0,8394,7647,6502,5821,5340,5052,5024,Mar
-8.730648576,42.39677548,0,8304,7570,6479,5802,5346,5059,5028,Mar
-8.792714341,42.37060557,0,8314,7594,6467,5793,5343,5048,5025,Mar
-8.897744324,42.38439618,0,8457,7721,6556,5851,5330,5055,5027,Mar
-8.844597118,42.50641322,1,8545,7983,7215,6066,5371,5062,5038,Marea_baja
-8.823605828,42.50178143,1,8468,7882,7213,6374,5374,5066,5036,Marea_baja
-8.830279559,42.49304343,1,8494,7904,7139,6168,5404,5064,5029,Marea_baja
-8.875290359,42.43788753,1,8705,8279,7391,5936,5363,5084,5042,Marea_baja
-8.879981808,42.44737677,1,8841,8352,7395,6051,5401,5092,5036,Marea_baja
-8.883498596,42.45555767,2,10318,10345,11126,12286,14554,12790,10375,Playa
-8.872989804,42.44178469,2,10325,10143,10579,11078,12180,8149,6978,Playa
-8.906111307,42.47596694,2,10169,10111,10486,11571,13932,12986,11180,Playa
-8.812069427,42.40048153,2,11808,12077,13156,14727,16940,18253,16105,Playa
-8.816120433,42.41644096,3,9653,9121,8914,9085,10568,10770,9981,Carreteras
-8.876315762,42.45292636,3,10318,10059,10119,10493,12998,12350,10415,Carreteras
-8.85645024,42.43893596,3,8480,7776,7157,6558,11131,7776,6318,Carreteras
-8.83385868,42.41798799,3,8379,7633,6737,6074,7578,6068,5826,Carreteras
-8.79133061,42.44764753,3,8723,8148,7390,7025,9787,9232,7959,Carreteras
-8.797901116,42.44309352,3,8600,7931,7012,6554,7829,7048,6437,Carreteras
-8.873598083,42.46111294,3,9085,8499,7739,7431,10058,9175,7797,Carreteras
-8.841762332,42.43251928,4,8253,7489,6506,5956,8096,5851,5343,Bosques
-8.814399977,42.42885516,4,8359,7611,6729,6192,9573,6663,5758,Bosques
-8.847215257,42.42846532,4,8272,7549,6655,6150,10878,6670,5678,Bosques
-8.88711991,42.47394408,4,8285,7529,6611,6094,10892,6363,5470,Bosques
-8.893843246,42.46343452,4,8374,7658,6756,6136,10541,6389,5622,Bosques
-8.849453138,42.48902157,4,8410,7702,6837,6278,10424,6701,5753,Bosques
-8.770803977,42.46929632,4,8094,7390,6452,5966,9951,6257,5487,Bosques
-8.797677121,42.45288709,4,8251,7494,6527,5970,8855,5808,5308,Bosques
-8.851904753,42.42240161,4,8297,7548,6572,6104,9231,6498,5578,Bosques
-8.850866265,42.44489179,5,8632,7972,7556,6838,13487,8873,7003,Verde
-8.834307057,42.44188488,5,8676,8030,7426,6924,11624,9937,7889,Verde
-8.819703006,42.44356557,5,8598,7918,7154,6935,8953,9911,8241,Verde
-8.857060278,42.44137134,5,8608,7983,7581,7009,13630,9464,7276,Verde
-8.878839886,42.45396504,5,8610,7965,7573,7054,13404,10770,7990,Verde
-8.854136161,42.43504823,5,8533,7858,7480,6731,13575,9074,7081,Verde
-8.849454155,42.45063007,5,8576,7892,7481,6847,13721,9618,7209,Verde
-8.81708571,42.43078215,5,8584,7949,7592,7026,14784,10260,7668,Verde
-8.868823136,42.49630292,6,8900,8259,7649,7976,9317,10260,9603,Casa_urbano
-8.862517881,42.49496617,6,8973,8337,7982,8559,9702,11480,10176,Casa_urbano
-8.814381214,42.51387022,6,8831,8166,7577,7969,9294,10837,9800,Casa_urbano
-8.815053337,42.51760764,6,8746,8113,7470,7640,8727,9512,8993,Casa_urbano
-8.817764897,42.50809967,6,8761,8100,7572,8073,8882,10743,9706,Casa_urbano
-8.810692728,42.51532623,6,8815,8172,7553,7828,9572,11177,10054,Casa_urbano
-8.77609026,42.52457309,6,11358,11270,10624,11582,12473,12964,11440,Casa_urbano
